Model,BLEU Score,Exact Match,Final Train Loss,Final Val Loss
Vanilla RNN,0.001413002220314202,0.0,6.1251686930656435,5.970044016838074
LSTM,0.0014368281922102018,0.0,5.989190912246704,5.671899855136871
LSTM + Attention,0.003786348027746871,0.0,3.9921587288379667,5.451967418193817
